CB, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
0, 0, 2.0, 14.0, 15.0, 4.0, 6.0, 5.0, 7.0, 18.0, 19.0, 18.0, 19.0, 9.0, 11.0, 22.0, 23.0
1, 2.0, 0, 16.0, 14.0, 6.0, 4.0, 7.0, 5.0, 20.0, 18.0, 20.0, 18.0, 11.0, 9.0, 24.0, 22.0
2, 14.0, 16.0, 0, 2.0, 17.0, 19.0, 19.0, 20.0, 4.0, 6.0, 5.0, 7.0, 22.0, 23.0, 9.0, 11.0
3, 15.0, 14.0, 2.0, 0, 18.0, 17.0, 20.0, 19.0, 6.0, 4.0, 7.0, 5.0, 23.0, 22.0, 11.0, 9.0
4, 4.0, 6.0, 17.0, 18.0, 0, 2.0, 9.0, 11.0, 14.0, 15.0, 21.0, 22.0, 5.0, 7.0, 18.0, 19.0
5, 6.0, 4.0, 19.0, 17.0, 2.0, 0, 11.0, 9.0, 16.0, 14.0, 23.0, 21.0, 7.0, 5.0, 20.0, 18.0
6, 5.0, 7.0, 19.0, 20.0, 9.0, 11.0, 0, 2.0, 23.0, 24.0, 14.0, 15.0, 4.0, 6.0, 18.0, 19.0
7, 7.0, 5.0, 20.0, 19.0, 11.0, 9.0, 2.0, 0, 24.0, 23.0, 16.0, 14.0, 6.0, 4.0, 20.0, 18.0
8, 18.0, 20.0, 4.0, 6.0, 14.0, 16.0, 23.0, 24.0, 0, 2.0, 9.0, 11.0, 19.0, 20.0, 5.0, 7.0
9, 19.0, 18.0, 6.0, 4.0, 15.0, 14.0, 24.0, 23.0, 2.0, 0, 11.0, 9.0, 20.0, 19.0, 7.0, 5.0
10, 18.0, 20.0, 5.0, 7.0, 21.0, 23.0, 14.0, 16.0, 9.0, 11.0, 0, 2.0, 17.0, 19.0, 4.0, 6.0
11, 19.0, 18.0, 7.0, 5.0, 22.0, 21.0, 15.0, 14.0, 11.0, 9.0, 2.0, 0, 18.0, 17.0, 6.0, 4.0
12, 9.0, 11.0, 22.0, 23.0, 5.0, 7.0, 4.0, 6.0, 19.0, 20.0, 17.0, 18.0, 0, 2.0, 14.0, 15.0
13, 11.0, 9.0, 23.0, 22.0, 7.0, 5.0, 6.0, 4.0, 20.0, 19.0, 19.0, 17.0, 2.0, 0, 16.0, 14.0
14, 22.0, 24.0, 9.0, 11.0, 18.0, 20.0, 18.0, 20.0, 5.0, 7.0, 4.0, 6.0, 14.0, 16.0, 0, 2.0
15, 23.0, 22.0, 11.0, 9.0, 19.0, 18.0, 19.0, 18.0, 7.0, 5.0, 6.0, 4.0, 15.0, 14.0, 2.0, 0
