CB, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
0, 0, 61.0, 15.0, 15.0, 58.0, 53.0, 56.0, 51.0, 15.0, 15.0, 15.0, 15.0, 48.0, 43.0, 15.0, 15.0
1, 61.0, 0, 15.0, 15.0, 53.0, 58.0, 51.0, 56.0, 15.0, 15.0, 15.0, 15.0, 43.0, 48.0, 15.0, 15.0
2, 15.0, 15.0, 0, 64.0, 15.0, 15.0, 15.0, 15.0, 61.0, 56.0, 59.0, 54.0, 15.0, 15.0, 51.0, 46.0
3, 15.0, 15.0, 64.0, 0, 15.0, 15.0, 15.0, 15.0, 56.0, 61.0, 54.0, 59.0, 15.0, 15.0, 46.0, 51.0
4, 58.0, 53.0, 15.0, 15.0, 0, 73.0, 48.0, 43.0, 27.0, 27.0, 15.0, 15.0, 68.0, 63.0, 27.0, 27.0
5, 53.0, 58.0, 15.0, 15.0, 73.0, 0, 43.0, 48.0, 27.0, 27.0, 15.0, 15.0, 63.0, 68.0, 27.0, 27.0
6, 56.0, 51.0, 15.0, 15.0, 48.0, 43.0, 0, 76.0, 15.0, 15.0, 30.0, 30.0, 73.0, 68.0, 30.0, 30.0
7, 51.0, 56.0, 15.0, 15.0, 43.0, 48.0, 76.0, 0, 15.0, 15.0, 30.0, 30.0, 68.0, 73.0, 30.0, 30.0
8, 15.0, 15.0, 61.0, 56.0, 27.0, 27.0, 15.0, 15.0, 0, 76.0, 51.0, 46.0, 27.0, 27.0, 71.0, 66.0
9, 15.0, 15.0, 56.0, 61.0, 27.0, 27.0, 15.0, 15.0, 76.0, 0, 46.0, 51.0, 27.0, 27.0, 66.0, 71.0
10, 15.0, 15.0, 59.0, 54.0, 15.0, 15.0, 30.0, 30.0, 51.0, 46.0, 0, 79.0, 30.0, 30.0, 76.0, 71.0
11, 15.0, 15.0, 54.0, 59.0, 15.0, 15.0, 30.0, 30.0, 46.0, 51.0, 79.0, 0, 30.0, 30.0, 71.0, 76.0
12, 48.0, 43.0, 15.0, 15.0, 68.0, 63.0, 73.0, 68.0, 27.0, 27.0, 30.0, 30.0, 0, 88.0, 42.0, 42.0
13, 43.0, 48.0, 15.0, 15.0, 63.0, 68.0, 68.0, 73.0, 27.0, 27.0, 30.0, 30.0, 88.0, 0, 42.0, 42.0
14, 15.0, 15.0, 51.0, 46.0, 27.0, 27.0, 30.0, 30.0, 71.0, 66.0, 76.0, 71.0, 42.0, 42.0, 0, 91.0
15, 15.0, 15.0, 46.0, 51.0, 27.0, 27.0, 30.0, 30.0, 66.0, 71.0, 71.0, 76.0, 42.0, 42.0, 91.0, 0
