CB, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
0, 0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 6.0, 15.0, 15.0, 15.0, 15.0, 15.0, 9.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0
1, 16.0, 0, 15.0, 15.0, 15.0, 15.0, 19.0, 18.0, 6.0, 15.0, 15.0, 18.0, 15.0, 15.0, 9.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0
2, 16.0, 15.0, 0, 15.0, 19.0, 15.0, 15.0, 15.0, 6.0, 15.0, 15.0, 15.0, 15.0, 15.0, 9.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0
3, 16.0, 15.0, 15.0, 0, 15.0, 19.0, 15.0, 15.0, 6.0, 18.0, 18.0, 15.0, 18.0, 18.0, 9.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0
4, 15.0, 15.0, 19.0, 15.0, 0, 18.0, 18.0, 16.0, 6.0, 16.0, 16.0, 15.0, 15.0, 15.0, 9.0, 16.0, 16.0, 15.0, 15.0, 16.0, 15.0
5, 15.0, 15.0, 15.0, 19.0, 18.0, 0, 18.0, 16.0, 6.0, 22.0, 22.0, 15.0, 21.0, 21.0, 9.0, 16.0, 16.0, 15.0, 15.0, 16.0, 15.0
6, 15.0, 19.0, 15.0, 15.0, 18.0, 18.0, 0, 22.0, 6.0, 16.0, 16.0, 21.0, 15.0, 15.0, 9.0, 22.0, 22.0, 21.0, 21.0, 22.0, 21.0
7, 15.0, 18.0, 15.0, 15.0, 16.0, 16.0, 22.0, 0, 6.0, 15.0, 15.0, 25.0, 15.0, 15.0, 9.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0
8, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
9, 15.0, 15.0, 15.0, 18.0, 16.0, 22.0, 16.0, 15.0, 6.0, 0, 21.0, 15.0, 21.0, 25.0, 9.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0
10, 15.0, 15.0, 15.0, 18.0, 16.0, 22.0, 16.0, 15.0, 6.0, 21.0, 0, 15.0, 25.0, 21.0, 9.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0
11, 15.0, 18.0, 15.0, 15.0, 15.0, 15.0, 21.0, 25.0, 6.0, 15.0, 15.0, 0, 18.0, 18.0, 9.0, 21.0, 21.0, 24.0, 24.0, 21.0, 24.0
12, 15.0, 15.0, 15.0, 18.0, 15.0, 21.0, 15.0, 15.0, 6.0, 21.0, 25.0, 18.0, 0, 24.0, 9.0, 15.0, 15.0, 18.0, 18.0, 15.0, 18.0
13, 15.0, 15.0, 15.0, 18.0, 15.0, 21.0, 15.0, 15.0, 6.0, 25.0, 21.0, 18.0, 24.0, 0, 9.0, 15.0, 15.0, 18.0, 18.0, 15.0, 18.0
14, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 7.0, 9.0, 9.0, 9.0, 9.0, 9.0, 0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0
15, 15.0, 18.0, 15.0, 15.0, 16.0, 16.0, 22.0, 21.0, 6.0, 15.0, 15.0, 21.0, 15.0, 15.0, 9.0, 0, 21.0, 25.0, 21.0, 21.0, 21.0
16, 15.0, 18.0, 15.0, 15.0, 16.0, 16.0, 22.0, 21.0, 6.0, 15.0, 15.0, 21.0, 15.0, 15.0, 9.0, 21.0, 0, 21.0, 25.0, 21.0, 21.0
17, 15.0, 18.0, 15.0, 15.0, 15.0, 15.0, 21.0, 21.0, 6.0, 15.0, 15.0, 24.0, 18.0, 18.0, 9.0, 25.0, 21.0, 0, 24.0, 21.0, 24.0
18, 15.0, 18.0, 15.0, 15.0, 15.0, 15.0, 21.0, 21.0, 6.0, 15.0, 15.0, 24.0, 18.0, 18.0, 9.0, 21.0, 25.0, 24.0, 0, 21.0, 24.0
19, 15.0, 18.0, 15.0, 15.0, 16.0, 16.0, 22.0, 21.0, 6.0, 15.0, 15.0, 21.0, 15.0, 15.0, 9.0, 21.0, 21.0, 21.0, 21.0, 0, 25.0
20, 15.0, 18.0, 15.0, 15.0, 15.0, 15.0, 21.0, 21.0, 6.0, 15.0, 15.0, 24.0, 18.0, 18.0, 9.0, 21.0, 21.0, 24.0, 24.0, 25.0, 0
